rating,schooladdress,schooldist,schoolname
3,"220 Henry Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Henry Street School For International Studies
3,"122 Amsterdam Avenue, New York, NY 10023",Nyc Geog District # 3 - Manhattan,Urban Assembly School for Media Studies
3,"215 West 114th Street, New York, NY 10026",Nyc Geog District # 3 - Manhattan,Frederick Douglas Academy II Secondary School
3,"1573 Madison Avenue, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Central Park East I
3,"401 West 164th Street, New York, NY 10032",Nyc Geog District # 6 - Manhattan,Ms 328 Manhattan Middle School For Scientific Inqu
3,"99 Terrace View Avenue, New York, NY 10463",Nyc Geog District #10 - Bronx,Bronx Engineering and Technology Academy
3,"525 West 50th Street, New York, NY 10019",Nyc Geog District # 2 - Manhattan,Facing History School
3,"145 Stanton Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,School For Global Leaders
3,"40 Irving Place, New York, NY 10003",Nyc Geog District # 2 - Manhattan,Gramercy Arts High School
3,"439 West 49th Street, New York, NY 10019",Nyc Geog District # 2 - Manhattan,Business Of Sports School
3,"100 Hester Street, New York, NY 10002",Nyc Geog District # 2 - Manhattan,Emma Lazarus High School
3,"40 Irving Place, New York, NY 10003",Nyc Geog District # 2 - Manhattan,High School For Language And Diplomacy
3,"145 West 84th Street, New York, NY 10024",Nyc Geog District # 3 - Manhattan,Urban Assembly School for Green Careers
3,"240 East 109th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Esperanza Prepatory Academy
3,"160 East 120th Street, New York, NY 10035",Nyc Geog District # 4 - Manhattan,Global Technology Preparatory
3,"999 Jamaica Avenue, New York, NY 11208",Nyc Geog District #19 - Brooklyn,Multicultural High School
3,"999 Jamaica Avenue, New York, NY 11208",Nyc Geog District #19 - Brooklyn,Academy of Innovative Technology
3,"111 East 33rd Street, New York, NY 10016",Nyc Geog District # 2 - Manhattan,Murray Hill Academy
3,"121 Avenue of the Americas, New York, NY 10013",Nyc Geog District # 2 - Manhattan,Broome Street Academy Charter High School
3,"220 Henry Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Manhattan Charter School II
3,"185 Wadsworth Avenue, New York, NY 10033",Nyc Geog District # 6 - Manhattan,Dos Puentes Elementary School
3,"411 Pearl Street, New York, NY 10038",Nyc Geog District # 2 - Manhattan,Urban Assembly-Emergency Management
3,"650 Academy Street, New York, NY 10034",Nyc Geog District # 6 - Manhattan,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES
2,"317 East 67th Street, New York, NY 10065",Nyc Geog District # 2 - Manhattan,Vanguard High School
2,"111 East 33rd Street, New York, NY 10016",Nyc Geog District # 2 - Manhattan,Unity Center For Urban Technologies
2,"215 West 114th Street, New York, NY 10026",Nyc Geog District # 3 - Manhattan,Wadleigh Secondary School for the Performing and Visual Arts
2,"120 West 46th Street, New York, NY 10036",Nyc Geog District # 2 - Manhattan,Jacqueline Kennedy-Onassis High School
2,"500 West 160th Street, New York, NY 10032",Nyc Geog District # 6 - Manhattan,Ps 4 Duke Ellington
2,"411 Pearl Street, New York, NY 10038",Nyc Geog District # 2 - Manhattan,Murry Bergtraum High School For Business Careers
2,"232 103rd Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Ps 38 Roberto Clemente
2,"220 West 121st Street, New York, NY 10027",Nyc Geog District # 3 - Manhattan,Ps 76 A Phillip Randolph
2,"512 West 212th Street, New York, NY 10034",Nyc Geog District # 6 - Manhattan,Ps 98 Shorac Kappock
2,"1615 Madison Avenue, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Ps 108 Assemblyman Angelo Del Toro Educational Com
2,"425 West 130th Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,Ps 129 John H Finley
2,"185 Wadsworth Avenue, New York, NY 10033",Nyc Geog District # 6 - Manhattan,Ps 132 Juan Pablo Duarte
2,"2121 5th Avenue, New York, NY 10037",Nyc Geog District # 5 - Manhattan,Ps 133 Fred R Moore
2,"2230 5th Avenue, New York, NY 10037",Nyc Geog District # 5 - Manhattan,Ps 197 John B Russwurm
2,"2589 7th Avenue, New York, NY 10039",Nyc Geog District # 5 - Manhattan,Ps 200 The James Mccune Smith School
2,"21 West 111th Street, New York, NY 10026",Nyc Geog District # 3 - Manhattan,Ps 208 Alain L Locke
2,"351 West 18th Street, New York, NY 10011",Nyc Geog District # 2 - Manhattan,Humanities Preparatory Academy
2,"549 Audubon Avenue, New York, NY 10040",Nyc Geog District # 6 - Manhattan,High School for International-Business & Finance
2,"549 Audubon Avenue, New York, NY 10040",Nyc Geog District # 6 - Manhattan,High School for Media & Communications
2,"549 Audubon Avenue, New York, NY 10040",Nyc Geog District # 6 - Manhattan,High School for Health Careers & Sciences
2,"320 East 96th Street, New York, NY 10128",Nyc Geog District # 2 - Manhattan,Life Sciences Secondary School
2,"509 West 129th Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,Is 286 Renaissance Military Leadership Academy
2,"216 East 120th Street, New York, NY 10035",Nyc Geog District # 4 - Manhattan,PS 96 Joseph Lanzetta
2,"10 Astor Place, New York, NY 10003",Nyc Geog District # 2 - Manhattan,Harvey Milk High School
2,"99 Terrace View Avenue, New York, NY 10463",Nyc Geog District #10 - Bronx,Bronx Theatre High School
2,"122 Amsterdam Avenue, New York, NY 10023",Nyc Geog District # 3 - Manhattan,"High School for Arts, Imagination and Inquiry"
2,"500 West 138th Street, New York, NY 10031",Nyc Geog District # 6 - Manhattan,Ps 325
2,"525 West 50th Street, New York, NY 10019",Nyc Geog District # 2 - Manhattan,High School Of Hospitality Management
2,"99 Terrace View Avenue, New York, NY 10463",Nyc Geog District #10 - Bronx,Bronx School Of Law And Finance
2,"198 Forsyth Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Cascades High School
2,"250 West 18th Street, New York, NY 10011",Nyc Geog District # 2 - Manhattan,Liberty High School Academy For Newcomers
2,"509 West 129th Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,Academy For Social Action A College Board School
2,"509 West 129th Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,Urban Assembly for the Performing Arts
2,"26 Broadway, New York, NY 10004",Nyc Geog District # 2 - Manhattan,Urban Assembly School Of Business For Young Women
2,"145 West 84th Street, New York, NY 10024",Nyc Geog District # 3 - Manhattan,The Global Learning Collaborative
2,"2351 1st Avenue, New York, NY 10035",Nyc Geog District # 4 - Manhattan,Coalition School For Social Change
2,"650 Academy Street, New York, NY 10034",Nyc Geog District # 6 - Manhattan,High School For Excellence And Innovation
2,"999 Jamaica Avenue, New York, NY 11208",Nyc Geog District #19 - Brooklyn,Brooklyn Lab School
2,"198 Forsyth Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Forsythe Satellite Academy
2,"351 West 18th Street, New York, NY 10011",Nyc Geog District # 2 - Manhattan,Hudson High School Of Learning Technologies
2,"111 East 33rd Street, New York, NY 10016",Nyc Geog District # 2 - Manhattan,Manhattan Academy For Arts And Languages
2,"625 West 133rd Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,New Design Middle School
2,"99 Terrace View Avenue, New York, NY 10463",Nyc Geog District #10 - Bronx,The New Visions Charter High School For The Humani
2,"99 Terrace View Avenue, New York, NY 10463",Nyc Geog District #10 - Bronx,New Visions Charter High School For Advanced Math
